subject,description,type_id,status_id,priority_id,assignee_id,start_date,due_date,estimated_hours
"Audit role matrix and permission boundaries","Document the expected access matrix for Employee, Project Manager, Admin, and Admin. Include routes, API endpoints, menu visibility, approval rights, report visibility, project management rights, and user-management rights. Compare expected behavior against current implementation and list mismatches before coding.",1,3,3,,2026-08-01,2026-08-05,6
"Configure initial Admin bootstrap","Verify the secure bootstrap path for the first Admin. Confirm normal employees cannot self-promote, document the configured email, and test fresh database startup behavior.",1,3,4,,2026-08-01,2026-08-06,5
"Implement Admin-only user management access","Move Manage Users out of Admin scope. Update navbar visibility, page guards, backend user endpoints, and role-change rules so only Admin can manage users and roles.",1,3,4,,2026-08-05,2026-08-09,8
"Separate Admin and Admin privileges","Review all Admin checks and remove accidental Admin behavior from Admin-only users. Confirm Admin can manage operational projects/reports but cannot manage roles or Admin functions.",1,3,4,,2026-08-06,2026-08-10,8
"Remove admin user-level bill-rate override UI","Remove user-level bill-rate editing from User Management. Ensure rate display and gross-pay calculations move toward project assignment rates instead of global employee overrides.",1,3,3,,2026-08-08,2026-08-12,6
"Create project code management foundation","Implement Admin/Admin project code creation and editing. Include project code, name, description, status, total allocated hours, Project Manager, and PM-hours approver fields.",1,3,4,,2026-08-07,2026-08-14,12
"Require Project Manager during project creation","Add frontend and backend validation requiring every project to have a Project Manager before save. Include clear error messaging for missing or invalid manager values.",1,3,4,,2026-08-12,2026-08-15,4
"Require PM-hours approver during project creation","Add frontend and backend validation requiring a separate PM-hours approver. Prevent the Project Manager from approving their own project hours.",1,3,4,,2026-08-12,2026-08-16,5
"Implement employee-to-project assignment flow","Allow Admin/Admin to assign employees to project codes. Store assignment status, assigned-by metadata, and enforce employee selection from active users only.",1,3,4,,2026-08-13,2026-08-19,10
"Add assignment start date, end date, and bill rate","Make assignment start date, end date, and bill rate mandatory when adding employees to a project. Validate start/end date order and non-negative bill rate.",1,3,4,,2026-08-16,2026-08-22,8
"Add project-specific bill rate support","Store bill rate on the project assignment so the same employee can have different rates across different projects. Return this rate to project and timesheet screens.",1,3,4,,2026-08-18,2026-08-24,8
"Build searchable project selector","Replace the small project side list with a searchable selector. Show suggestions only after the user types a project name/code, and do not auto-open a random project.",1,3,3,,2026-08-18,2026-08-25,8
